Brand,Model,Length,Width,Thickness,Volume,Image URL,Total Length (inches)
bing-surfboards,Bing Aussie Square,"10'0"" "," 23.38"" "," 3.19""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_AussieSquare.webp?v=1705951887,120.0
bing-surfboards,Bing Aussie Square,"9'4"" "," 22.75"" "," 2.94""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_AussieSquare.webp?v=1705951887,112.0
bing-surfboards,Bing Aussie Square,"11'0"" "," 23.75"" "," 3.50""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_AussieSquare.webp?v=1705951887,132.0
bing-surfboards,Bing Aussie Square,"10'6"" "," 23.63"" "," 3.43""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_AussieSquare.webp?v=1705951887,126.0
bing-surfboards,Bing Aussie Square,"9'10"" "," 23.25"" "," 3.13""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_AussieSquare.webp?v=1705951887,118.0
bing-surfboards,Bing Aussie Square,"9'0"" "," 22.50"" "," 2.88""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_AussieSquare.webp?v=1705951887,108.0
bing-surfboards,Bing Aussie Square,"9'6"" "," 23.00"" "," 3.06""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_AussieSquare.webp?v=1705951887,114.0
bing-surfboards,Bing Aussie Square,"10'2"" "," 24.44"" "," 3.25""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_AussieSquare.webp?v=1705951887,122.0
bing-surfboards,Bing Aussie Square,"9'2"" "," 22.68"" "," 2.88""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_AussieSquare.webp?v=1705951887,110.0
bing-surfboards,Bing Aussie Square,"10'4"" "," 23.50"" "," 3.38""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_AussieSquare.webp?v=1705951887,124.0
bing-surfboards,Bing Aussie Square,"9'8"" "," 23.13"" "," 3.06""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_AussieSquare.webp?v=1705951887,116.0
bing-surfboards,Bing Beacon,10’0” , 23.75” , 3.13” ,NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/bingbeacon.jpg?v=1682509089,120.0
bing-surfboards,Bing Beacon,9’8” , 23.38” , 3.06” ,NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/bingbeacon.jpg?v=1682509089,116.0
bing-surfboards,Bing Beacon,9’6” , 23.25” , 3.00” ,NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/bingbeacon.jpg?v=1682509089,114.0
bing-surfboards,Bing Beacon,9’4” , 23.00” , 2.94” ,NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/bingbeacon.jpg?v=1682509089,112.0
bing-surfboards,Bing Beacon,10’2” , 24.00” , 3.25” ,NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/bingbeacon.jpg?v=1682509089,122.0
bing-surfboards,Bing Beacon,10’6” , 24.25” , 3.38” ,NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/bingbeacon.jpg?v=1682509089,126.0
bing-surfboards,Bing Beacon,9’0” , 22.75” , 2.88” ,NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/bingbeacon.jpg?v=1682509089,108.0
bing-surfboards,Bing Beacon,11’0” , 24.38” , 3.50” ,NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/bingbeacon.jpg?v=1682509089,132.0
bing-surfboards,Bing Beacon,10’4” , 24.00” , 3.25” ,NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/bingbeacon.jpg?v=1682509089,124.0
bing-surfboards,Bing Beacon,9’2” , 22.88” , 2.88” ,NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/bingbeacon.jpg?v=1682509089,110.0
bing-surfboards,Bing Beacon,9’10” , 23.50” , 3.06” ,NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/bingbeacon.jpg?v=1682509089,118.0
bing-surfboards,Bing Collector,7’10” , 22.31” , 3.00” ,57.2,https://cdn.shopify.com/s/files/1/2062/5873/files/bingcollector.jpg?v=1682509089,94.0
bing-surfboards,Bing Collector,7’0” , 21.25” , 2.88” ,44.7,https://cdn.shopify.com/s/files/1/2062/5873/files/bingcollector.jpg?v=1682509089,84.0
bing-surfboards,Bing Collector,7’2” , 21.50” , 2.88” ,48.1,https://cdn.shopify.com/s/files/1/2062/5873/files/bingcollector.jpg?v=1682509089,86.0
bing-surfboards,Bing Collector,6’10” , 21.00” , 2.75” ,43.2,https://cdn.shopify.com/s/files/1/2062/5873/files/bingcollector.jpg?v=1682509089,82.0
bing-surfboards,Bing Collector,6’8” , 21.00” , 2.69” ,41.4,https://cdn.shopify.com/s/files/1/2062/5873/files/bingcollector.jpg?v=1682509089,80.0
bing-surfboards,Bing Collector,7’4” , 21.75” , 2.88” ,49.9,https://cdn.shopify.com/s/files/1/2062/5873/files/bingcollector.jpg?v=1682509089,88.0
bing-surfboards,Bing Collector,7’6” , 22.00” , 2.88” ,51.6,https://cdn.shopify.com/s/files/1/2062/5873/files/bingcollector.jpg?v=1682509089,90.0
bing-surfboards,Bing Collector,8’2” , 22.50” , 3.13” ,61.8,https://cdn.shopify.com/s/files/1/2062/5873/files/bingcollector.jpg?v=1682509089,98.0
bing-surfboards,Bing Collector,8’4” , 22.75” , 3.13” ,63.7,https://cdn.shopify.com/s/files/1/2062/5873/files/bingcollector.jpg?v=1682509089,100.0
bing-surfboards,Bing Collector,8’6” , 23.00” , 3.19” ,67.2,https://cdn.shopify.com/s/files/1/2062/5873/files/bingcollector.jpg?v=1682509089,102.0
bing-surfboards,Bing Collector,7’8” , 22.25” , 2.94” ,53.4,https://cdn.shopify.com/s/files/1/2062/5873/files/bingcollector.jpg?v=1682509089,92.0
bing-surfboards,Bing Collector,8’0” , 22.50” , 3.00” ,59.2,https://cdn.shopify.com/s/files/1/2062/5873/files/bingcollector.jpg?v=1682509089,96.0
bing-surfboards,Bing Collector,6’6” , 20.75” , 2.63” ,39.0,https://cdn.shopify.com/s/files/1/2062/5873/files/bingcollector.jpg?v=1682509089,78.0
bing-surfboards,Bing Continental,10’0” , 24.00” , 3.25” ,88.2,https://cdn.shopify.com/s/files/1/2062/5873/files/bingcontinental.jpg?v=1682509089,120.0
bing-surfboards,Bing Continental,9’8” , 23.62” , 3.12” ,80.6,https://cdn.shopify.com/s/files/1/2062/5873/files/bingcontinental.jpg?v=1682509089,116.0
bing-surfboards,Bing Continental,9’6” , 23.50” , 3.06” ,78.1,https://cdn.shopify.com/s/files/1/2062/5873/files/bingcontinental.jpg?v=1682509089,114.0
bing-surfboards,Bing Continental,10’10” , 24.62” , 3.56” ,107.,https://cdn.shopify.com/s/files/1/2062/5873/files/bingcontinental.jpg?v=1682509089,130.0
bing-surfboards,Bing Continental,10’8” , 24.50” , 3.50” ,103.,https://cdn.shopify.com/s/files/1/2062/5873/files/bingcontinental.jpg?v=1682509089,128.0
bing-surfboards,Bing Continental,9’4” , 23.37” , 3.00” ,74.7,https://cdn.shopify.com/s/files/1/2062/5873/files/bingcontinental.jpg?v=1682509089,112.0
bing-surfboards,Bing Continental,10’2” , 24.12” , 3.31” ,91.7,https://cdn.shopify.com/s/files/1/2062/5873/files/bingcontinental.jpg?v=1682509089,122.0
bing-surfboards,Bing Continental,10’6” , 24.37” , 3.43” ,99.0,https://cdn.shopify.com/s/files/1/2062/5873/files/bingcontinental.jpg?v=1682509089,126.0
bing-surfboards,Bing Continental,9’0” , 23.00” , 2.88” ,69.3,https://cdn.shopify.com/s/files/1/2062/5873/files/bingcontinental.jpg?v=1682509089,108.0
bing-surfboards,Bing Continental,11’0” , 24.75” , 3.62” ,111.,https://cdn.shopify.com/s/files/1/2062/5873/files/bingcontinental.jpg?v=1682509089,132.0
bing-surfboards,Bing Continental,10’4” , 24.25” , 3.37” ,95.3,https://cdn.shopify.com/s/files/1/2062/5873/files/bingcontinental.jpg?v=1682509089,124.0
bing-surfboards,Bing Continental,9’2” , 23.25” , 2.88” ,71.3,https://cdn.shopify.com/s/files/1/2062/5873/files/bingcontinental.jpg?v=1682509089,110.0
bing-surfboards,Bing Continental,9’10” , 23.75” , 3.18” ,84.0,https://cdn.shopify.com/s/files/1/2062/5873/files/bingcontinental.jpg?v=1682509089,118.0
bing-surfboards,Bing Derringer,"10'0"" "," 23.25"" "," 3.12""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Derringer.webp?v=1705951887,120.0
bing-surfboards,Bing Derringer,"9'4"" "," 22.75"" "," 2.87""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Derringer.webp?v=1705951887,112.0
bing-surfboards,Bing Derringer,"11'0"" "," 23.62"" "," 3.43""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Derringer.webp?v=1705951887,132.0
bing-surfboards,Bing Derringer,"10'6"" "," 23.62"" "," 3.37""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Derringer.webp?v=1705951887,126.0
bing-surfboards,Bing Derringer,"9'10"" "," 23.13"" "," 3.06""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Derringer.webp?v=1705951887,118.0
bing-surfboards,Bing Derringer,"9'0"" "," 22.50"" "," 2.87""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Derringer.webp?v=1705951887,108.0
bing-surfboards,Bing Derringer,"9'6"" "," 22.88"" "," 2.87""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Derringer.webp?v=1705951887,114.0
bing-surfboards,Bing Derringer,"10'2"" "," 23.37"" "," 3.18""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Derringer.webp?v=1705951887,122.0
bing-surfboards,Bing Derringer,"9'2"" "," 22.63"" "," 2.87""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Derringer.webp?v=1705951887,110.0
bing-surfboards,Bing Derringer,"10'4"" "," 23.50"" "," 3.25""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Derringer.webp?v=1705951887,124.0
bing-surfboards,Bing Derringer,"9'8"" "," 23.00"" "," 2.93""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Derringer.webp?v=1705951887,116.0
bing-surfboards,Bing Jet Fish,"7'0"" "," 21.00"" "," 2.75"" ",41.4,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Jet_Fish.webp?v=1713459893,84.0
bing-surfboards,Bing Jet Fish,"6'10"" "," 20.75"" "," 2.75"" ",39.6,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Jet_Fish.webp?v=1713459893,82.0
bing-surfboards,Bing Jet Fish,"7'2"" "," 21.35"" "," 2.75"" ",43.4,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Jet_Fish.webp?v=1713459893,86.0
bing-surfboards,Bing Jet Fish,"6'6"" "," 20.50"" "," 2.68"" ",36.8,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Jet_Fish.webp?v=1713459893,78.0
bing-surfboards,Bing Jet Fish,"6'4"" "," 20.25"" "," 2.62"" ",34.6,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Jet_Fish.webp?v=1713459893,76.0
bing-surfboards,Bing Jet Fish,"6'2"" "," 20.00"" "," 2.62"" ",33L,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Jet_Fish.webp?v=1713459893,74.0
bing-surfboards,Bing Jet Fish,"6'8"" "," 20.65"" "," 2.75"" ",38.8,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Jet_Fish.webp?v=1713459893,80.0
bing-surfboards,Bing Jet Fish,"7'6"" "," 22.00"" "," 2.87"" ",48.8,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Jet_Fish.webp?v=1713459893,90.0
bing-surfboards,Bing Jet Fish,"7'4"" "," 21.75"" "," 2.81"" ",45.8,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Jet_Fish.webp?v=1713459893,88.0
bing-surfboards,Bing Slalom,"7'0"" "," 21.25"" "," 2.75"" ",44.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Slalom.webp?v=1705951887,84.0
bing-surfboards,Bing Slalom,"6'10"" "," 20.75"" "," 2.75"" ",41.2,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Slalom.webp?v=1705951887,82.0
bing-surfboards,Bing Slalom,"7'2"" "," 21.31"" "," 2.75"" ",45.7,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Slalom.webp?v=1705951887,86.0
bing-surfboards,Bing Slalom,"6'6"" "," 20.25"" "," 2.57"" ",35.9,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Slalom.webp?v=1705951887,78.0
bing-surfboards,Bing Slalom,"6'4"" "," 20.00"" "," 2.50"" ",34.3,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Slalom.webp?v=1705951887,76.0
bing-surfboards,Bing Slalom,"7'8"" "," 21.75"" "," 2.88"" ",51.1,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Slalom.webp?v=1705951887,92.0
bing-surfboards,Bing Slalom,"8'0"""" "," 22.31"" "," 3.00"" ",57.2,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Slalom.webp?v=1705951887,96.0
bing-surfboards,Bing Slalom,"6'2"" "," 19.75"" "," 2.50"" ",32.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Slalom.webp?v=1705951887,74.0
bing-surfboards,Bing Slalom,"6'8"" "," 20.50"" "," 2.63"" ",38.2,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Slalom.webp?v=1705951887,80.0
bing-surfboards,Bing Slalom,"7'6"" "," 21.50"" "," 2.81"" ",48.3,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Slalom.webp?v=1705951887,90.0
bing-surfboards,Bing Slalom,"7'10"" "," 22.00"" "," 2.94"" ",52.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Slalom.webp?v=1705951887,94.0
bing-surfboards,Bing Slalom,"7'4"" "," 21.44"" "," 2.75"" ",46.8,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Slalom.webp?v=1705951887,88.0
bing-surfboards,Bing Spoiler,"9'0"" "," 22.50"" "," 2.88""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Spoiler.webp?v=1705951887,108.0
bing-surfboards,Bing Spoiler,"9'4"" "," 23.00"" "," 3.00""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Spoiler.webp?v=1705951887,112.0
bing-surfboards,Bing Spoiler,"9'6"" "," 23.00"" "," 3.00""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Spoiler.webp?v=1705951887,114.0
bing-surfboards,Bing Spoiler,﻿8’6”  ," 22.75"" "," 2.88""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Spoiler.webp?v=1705951887,
bing-surfboards,Bing Spoiler,"9'2"" "," 22.75"" "," 2.94""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Spoiler.webp?v=1705951887,110.0
bing-surfboards,Bing Spoiler,"9'8"" "," 23.00"" "," 3.13""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_Spoiler.webp?v=1705951887,116.0
channel-islands-surfboards,Channel Islands 2.Pro,"6’2"" "," 19.50"" "," 2.56"" ",32.8,https://cdn.shopify.com/s/files/1/2062/5873/files/CI_2.Pro_Cutout.png?v=1691091709,74.0
channel-islands-surfboards,Channel Islands 2.Pro,"5’10"" "," 18.63"" "," 2.31"" ",26.9,https://cdn.shopify.com/s/files/1/2062/5873/files/CI_2.Pro_Cutout.png?v=1691091709,70.0
channel-islands-surfboards,Channel Islands 2.Pro,"6’4"" "," 20.13"" "," 2.75"" ",37.3,https://cdn.shopify.com/s/files/1/2062/5873/files/CI_2.Pro_Cutout.png?v=1691091709,76.0
channel-islands-surfboards,Channel Islands 2.Pro,"6’0"" "," 19.13"" "," 2.44"" ",29.9,https://cdn.shopify.com/s/files/1/2062/5873/files/CI_2.Pro_Cutout.png?v=1691091709,72.0
channel-islands-surfboards,Channel Islands 2.Pro,"6’6"" "," 20.50"" "," 2.88"" ",40.6,https://cdn.shopify.com/s/files/1/2062/5873/files/CI_2.Pro_Cutout.png?v=1691091709,78.0
channel-islands-surfboards,Channel Islands 2.Pro,"6’1"" "," 19.25"" "," 2.50"" ",31.2,https://cdn.shopify.com/s/files/1/2062/5873/files/CI_2.Pro_Cutout.png?v=1691091709,73.0
channel-islands-surfboards,Channel Islands 2.Pro,"5’11"" "," 18.88"" "," 2.38"" ",28.4,https://cdn.shopify.com/s/files/1/2062/5873/files/CI_2.Pro_Cutout.png?v=1691091709,71.0
channel-islands-surfboards,Channel Islands 2.Pro,"5’9"" "," 18.38"" "," 2.25"" ",25.5,https://cdn.shopify.com/s/files/1/2062/5873/files/CI_2.Pro_Cutout.png?v=1691091709,69.0
channel-islands-surfboards,Channel Islands 2.Pro,"6’3"" "," 19.88"" "," 2.63"" ",34.7,https://cdn.shopify.com/s/files/1/2062/5873/files/CI_2.Pro_Cutout.png?v=1691091709,75.0
channel-islands-surfboards,Channel Islands 2.Pro,"5’8"" "," 18.25"" "," 2.19"" ",24.3,https://cdn.shopify.com/s/files/1/2062/5873/files/CI_2.Pro_Cutout.png?v=1691091709,68.0
channel-islands-surfboards,Channel Islands Big Happy,"7'0"" "," 21.25"" ", 3.00” ,46.6,https://cdn.shopify.com/s/files/1/2062/5873/files/AlMerrick_BigHappy_1.webp?v=1717587129,84.0
channel-islands-surfboards,Channel Islands Big Happy,"6'10"" ", 21.00” , 2.94” ,44.0,https://cdn.shopify.com/s/files/1/2062/5873/files/AlMerrick_BigHappy_1.webp?v=1717587129,82.0
channel-islands-surfboards,Channel Islands Big Happy,"7'2"" ", 21.50” , 3.00” ,48.3,https://cdn.shopify.com/s/files/1/2062/5873/files/AlMerrick_BigHappy_1.webp?v=1717587129,86.0
channel-islands-surfboards,Channel Islands Big Happy,"6'6"" ", 20.50” , 2.88” ,40.0,https://cdn.shopify.com/s/files/1/2062/5873/files/AlMerrick_BigHappy_1.webp?v=1717587129,78.0
channel-islands-surfboards,Channel Islands Big Happy,"6'4"" "," 20.25"" "," 2.75"" ",36.9,https://cdn.shopify.com/s/files/1/2062/5873/files/AlMerrick_BigHappy_1.webp?v=1717587129,76.0
channel-islands-surfboards,Channel Islands Big Happy,"6'8"" "," 20.75"" ", 2.88” ,41.6,https://cdn.shopify.com/s/files/1/2062/5873/files/AlMerrick_BigHappy_1.webp?v=1717587129,80.0
channel-islands-surfboards,Channel Islands Big Happy,"7'4"" ", 21.75 , 3.12” ,52.0,https://cdn.shopify.com/s/files/1/2062/5873/files/AlMerrick_BigHappy_1.webp?v=1717587129,88.0
channel-islands-surfboards,Channel Islands Bobby Quad,"5’8"" "," 20.13"" "," 2.63"" ",33.8,https://cdn.shopify.com/s/files/1/2062/5873/files/Bobby-Quad.jpg?v=1678115956,68.0
channel-islands-surfboards,Channel Islands Bobby Quad,"6’2"" "," 21.00"" "," 2.88"" ",42.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Bobby-Quad.jpg?v=1678115956,74.0
channel-islands-surfboards,Channel Islands Bobby Quad,"5’2"" "," 19.00"" "," 2.31"" ",25.3,https://cdn.shopify.com/s/files/1/2062/5873/files/Bobby-Quad.jpg?v=1678115956,62.0
channel-islands-surfboards,Channel Islands Bobby Quad,"5’11"" "," 20.63"" "," 2.75"" ",37.8,https://cdn.shopify.com/s/files/1/2062/5873/files/Bobby-Quad.jpg?v=1678115956,71.0
channel-islands-surfboards,Channel Islands Bobby Quad,"5’7"" "," 20.00"" "," 2.56"" ",32.3,https://cdn.shopify.com/s/files/1/2062/5873/files/Bobby-Quad.jpg?v=1678115956,67.0
channel-islands-surfboards,Channel Islands Bobby Quad,"5’9"" "," 20.38"" "," 2.69"" ",35.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Bobby-Quad.jpg?v=1678115956,69.0
channel-islands-surfboards,Channel Islands Bobby Quad,"5'5"" "," 19.63"" "," 2.44"" ",28.9,https://cdn.shopify.com/s/files/1/2062/5873/files/Bobby-Quad.jpg?v=1678115956,65.0
channel-islands-surfboards,Channel Islands Bobby Quad,"5’10"" "," 20.50"" "," 2.75"" ",37.1,https://cdn.shopify.com/s/files/1/2062/5873/files/Bobby-Quad.jpg?v=1678115956,70.0
channel-islands-surfboards,Channel Islands Bobby Quad,"5’4"" "," 19.38"" "," 2.38"" ",27.4,https://cdn.shopify.com/s/files/1/2062/5873/files/Bobby-Quad.jpg?v=1678115956,64.0
channel-islands-surfboards,Channel Islands Bobby Quad,"6’4"" "," 21.38"" "," 2.88"" ",43.9,https://cdn.shopify.com/s/files/1/2062/5873/files/Bobby-Quad.jpg?v=1678115956,76.0
channel-islands-surfboards,Channel Islands Bobby Quad,"6’0"" "," 20.75"" "," 2.75"" ",38.6,https://cdn.shopify.com/s/files/1/2062/5873/files/Bobby-Quad.jpg?v=1678115956,72.0
channel-islands-surfboards,Channel Islands Bobby Quad,"5’3"" "," 19.13"" "," 2.31"" ",25.6,https://cdn.shopify.com/s/files/1/2062/5873/files/Bobby-Quad.jpg?v=1678115956,63.0
channel-islands-surfboards,Channel Islands Bobby Quad,"6’6"" "," 21.75"" "," 3.00"" ",47.8,https://cdn.shopify.com/s/files/1/2062/5873/files/Bobby-Quad.jpg?v=1678115956,78.0
channel-islands-surfboards,Channel Islands Bobby Quad,"5’6"" "," 19.75"" "," 2.50"" ",30.3,https://cdn.shopify.com/s/files/1/2062/5873/files/Bobby-Quad.jpg?v=1678115956,66.0
channel-islands-surfboards,Channel Islands Bobby Quad,"5’0"" "," 18.75"" "," 2.25"" ",23.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Bobby-Quad.jpg?v=1678115956,60.0
channel-islands-surfboards,Channel Islands CI Log,"10'0"" "," 23.25"" "," 3.19""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/CI_Log_Cutout.png?v=1691422078,120.0
channel-islands-surfboards,Channel Islands CI Log,"9'6"" "," 23.00"" "," 3.13"" ",78.8,https://cdn.shopify.com/s/files/1/2062/5873/files/CI_Log_Cutout.png?v=1691422078,114.0
channel-islands-surfboards,Channel Islands CI Log,"9'0"" "," 22.63"" "," 3.00"" ",74.5,https://cdn.shopify.com/s/files/1/2062/5873/files/CI_Log_Cutout.png?v=1691422078,108.0
channel-islands-surfboards,Channel Islands CI Log,"9'9"" "," 23.13"" "," 3.13"" ",80.8,https://cdn.shopify.com/s/files/1/2062/5873/files/CI_Log_Cutout.png?v=1691422078,117.0
channel-islands-surfboards,Channel Islands CI Log,"9'3"" "," 22.88"" "," 3.06"" ",76.6,https://cdn.shopify.com/s/files/1/2062/5873/files/CI_Log_Cutout.png?v=1691422078,111.0
channel-islands-surfboards,Channel Islands CI Mid,7’10” , 22” , 3” ,57.1,https://cdn.shopify.com/s/files/1/2062/5873/files/CI-Mid-Orange.jpg?v=1678115956,94.0
channel-islands-surfboards,Channel Islands CI Mid,7’0” , 21.125” , 2.75” ,44.9,https://cdn.shopify.com/s/files/1/2062/5873/files/CI-Mid-Orange.jpg?v=1678115956,84.0
channel-islands-surfboards,Channel Islands CI Mid,7’2” , 21.25” , 2.812” ,47.3,https://cdn.shopify.com/s/files/1/2062/5873/files/CI-Mid-Orange.jpg?v=1678115956,86.0
channel-islands-surfboards,Channel Islands CI Mid,6’10” , 20.875” , 2.687” ,42.3,https://cdn.shopify.com/s/files/1/2062/5873/files/CI-Mid-Orange.jpg?v=1678115956,82.0
channel-islands-surfboards,Channel Islands CI Mid,6’8” , 20.75” , 2.625” ,40.2,https://cdn.shopify.com/s/files/1/2062/5873/files/CI-Mid-Orange.jpg?v=1678115956,80.0
channel-islands-surfboards,Channel Islands CI Mid,7’6” , 21.75” , 2.875” ,51.8,https://cdn.shopify.com/s/files/1/2062/5873/files/CI-Mid-Orange.jpg?v=1678115956,90.0
channel-islands-surfboards,Channel Islands CI Mid,6’6” , 20.5” , 2.562” ,37.8,https://cdn.shopify.com/s/files/1/2062/5873/files/CI-Mid-Orange.jpg?v=1678115956,78.0
channel-islands-surfboards,Channel Islands CI Mid Twin,"7'5"" "," 21.75"" "," 3.00"" ",53.5,https://cdn.shopify.com/s/files/1/2062/5873/files/CImidtwin-cutout.png?v=1678888521,89.0
channel-islands-surfboards,Channel Islands CI Mid Twin,"6'5"" "," 20.88"" "," 2.69"" ",39.7,https://cdn.shopify.com/s/files/1/2062/5873/files/CImidtwin-cutout.png?v=1678888521,77.0
channel-islands-surfboards,Channel Islands CI Mid Twin,"6'9"" "," 21.00"" "," 2.75"" ",43L,https://cdn.shopify.com/s/files/1/2062/5873/files/CImidtwin-cutout.png?v=1678888521,81.0
channel-islands-surfboards,Channel Islands CI Mid Twin,"7'1"" "," 21.25"" "," 2.88"" ",47.8,https://cdn.shopify.com/s/files/1/2062/5873/files/CImidtwin-cutout.png?v=1678888521,85.0
channel-islands-surfboards,Channel Islands CI Mid Twin,"7'3"" "," 21.50"" "," 2.94"" ",50.6,https://cdn.shopify.com/s/files/1/2062/5873/files/CImidtwin-cutout.png?v=1678888521,87.0
channel-islands-surfboards,Channel Islands CI Mid Twin,"6'7"" "," 20.88"" "," 2.69"" ",40.7,https://cdn.shopify.com/s/files/1/2062/5873/files/CImidtwin-cutout.png?v=1678888521,79.0
channel-islands-surfboards,Channel Islands CI Mid Twin,"6'11"" "," 21.13"" "," 2.81"" ",45.4,https://cdn.shopify.com/s/files/1/2062/5873/files/CImidtwin-cutout.png?v=1678888521,83.0
channel-islands-surfboards,Channel Islands CI Mid Twin,"6’3"" "," 20.75"" "," 2.63"" ",37.5,https://cdn.shopify.com/s/files/1/2062/5873/files/CImidtwin-cutout.png?v=1678888521,75.0
channel-islands-surfboards,Channel Islands CI Mid Twin,"7'9"" "," 22.00"" "," 3.13"" ",57.8,https://cdn.shopify.com/s/files/1/2062/5873/files/CImidtwin-cutout.png?v=1678888521,93.0
channel-islands-surfboards,Channel Islands CI Pro,5’11” , 18.875” , 2.375” ,28.4,https://cdn.shopify.com/s/files/1/2062/5873/files/CI-Pro-Blue-Top.jpg?v=1678115956,71.0
channel-islands-surfboards,Channel Islands CI Pro,6’1” , 19.25” , 2.5” ,31.2,https://cdn.shopify.com/s/files/1/2062/5873/files/CI-Pro-Blue-Top.jpg?v=1678115956,73.0
channel-islands-surfboards,Channel Islands CI Pro,6’0” , 19.125” , 2.437” ,29.9,https://cdn.shopify.com/s/files/1/2062/5873/files/CI-Pro-Blue-Top.jpg?v=1678115956,72.0
channel-islands-surfboards,Channel Islands CI Pro,5’10” , 18.625” , 2.312” ,26.9,https://cdn.shopify.com/s/files/1/2062/5873/files/CI-Pro-Blue-Top.jpg?v=1678115956,70.0
channel-islands-surfboards,Channel Islands CI Pro,6’2” , 19.5” , 2.562” ,32.8,https://cdn.shopify.com/s/files/1/2062/5873/files/CI-Pro-Blue-Top.jpg?v=1678115956,74.0
