spot_name,href,full_url,spot_type,lat,lng,county,id,Ideal Swell Dir,Ideal Wind Dir,Ideal Swell Angle,Ideal Wind Angle
Tijuana Sloughs,/breaks/Tijuana-Sloughs,https://www.surf-forecast.com/breaks/Tijuana-Sloughs,River,32.5538,-117.1406,San Diego County,5842041f4e65fad6a77088cb,West-southwest,East,247.5,90
Klamath Rivermouth,/breaks/Klamath-Rivermouth,https://www.surf-forecast.com/breaks/Klamath-Rivermouth,River,41.5477,-124.0947,Del Norte County,640a3fb399dd4470f5033737,Southwest,East,225,90
South Beach,/breaks/South-Beach,https://www.surf-forecast.com/breaks/South-Beach,Sandbar,41.7426,-124.1723,Del Norte County,5842041f4e65fad6a7708ac1,West-southwest,Northeast,247.5,45
Redwood Creek,/breaks/Redwood-Creek,https://www.surf-forecast.com/breaks/Redwood-Creek,River,41.291,-124.093,Humboldt County,5842041f4e65fad6a770882e,West,East-southeast,270,112.5
Bunkers,/breaks/Bunkers_1,https://www.surf-forecast.com/breaks/Bunkers_1,Beach,40.772,-124.2295,Humboldt County,640b9a239b6fab6ce22fbbd9,West,Southeast,270,135
Little River Clam Beach,/breaks/Little-River-Clam-Beach,https://www.surf-forecast.com/breaks/Little-River-Clam-Beach,Beach,41.0144,-124.1271,Humboldt County,640a3fa8b6d76910e551387d,West,East-southeast,270,112.5
Camel Rock,/breaks/Camel-Rock,https://www.surf-forecast.com/breaks/Camel-Rock,Sandbar,41.0491,-124.1281,Humboldt County,584204204e65fad6a7709454,West-northwest,East,292.5,90
Little River State Beach,/breaks/Little-River-State-Beach,https://www.surf-forecast.com/breaks/Little-River-State-Beach,Beach,40.995,-124.1174,Humboldt County,640a3fa8b6d76910e551387d,Northwest,East,315,90
South Jetty Table Bluff,/breaks/South-Jetty-Table-Bluff,https://www.surf-forecast.com/breaks/South-Jetty-Table-Bluff,Beach,40.7593,-124.2484,Humboldt County,5842041f4e65fad6a7708a7b,West,Southeast,270,135
Cape Mendocino,/breaks/Cape-Mendocino,https://www.surf-forecast.com/breaks/Cape-Mendocino,Beach,40.4174,-124.3993,Humboldt County,43ec27a8-cecc-11eb-9d18-024238d3b313,Southwest,East,225,90
Mad River Beach,/breaks/Mad-River-Beach,https://www.surf-forecast.com/breaks/Mad-River-Beach,Beach,40.9094,-124.1475,Humboldt County,5842041f4e65fad6a77089bb,Northwest,East,315,90
Stone Lagoon,/breaks/Stone-Lagoon,https://www.surf-forecast.com/breaks/Stone-Lagoon,Beach,41.2564,-124.1131,Humboldt County,640b8ffbde81d528590b1346,West,East-southeast,270,112.5
Centreville Beach,/breaks/Centreville-Beach,https://www.surf-forecast.com/breaks/Centreville-Beach,Beach,40.5987,-124.3408,Humboldt County,5842041f4e65fad6a77088d7,Southwest,Southeast,225,135
Moonstone Beach,/breaks/Moonstone-Beach,https://www.surf-forecast.com/breaks/Moonstone-Beach,Beach,41.0332,-124.1168,Humboldt County,640a3faab6d7692d595138e8,Northwest,East,315,90
Dry Lagoon,/breaks/Dry-Lagoon,https://www.surf-forecast.com/breaks/Dry-Lagoon,Beach,41.2274,-124.1201,Humboldt County,5842041f4e65fad6a7708ec5,West,East-southeast,270,112.5
North Jetty at Eureka,/breaks/North-Jettyat-Eureka,https://www.surf-forecast.com/breaks/North-Jettyat-Eureka,Beach/jetty,40.7686,-124.235,Humboldt County,5842041f4e65fad6a77089bc,Northwest,Southeast,315,135
Gold Bluffs Beach,/breaks/Gold-Bluffs-Beach,https://www.surf-forecast.com/breaks/Gold-Bluffs-Beach,Beach,41.4074,-124.0656,Humboldt County,640a3fb0b6d76903b8513a73,West-southwest,East,247.5,90
