spot_name,href,full_url,spot_type,lat,lng,county,id
13th Street,/breaks/Thirteenth-Street,https://www.surf-forecast.com/breaks/Thirteenth-Street,Beach,33.7239,-118.0824,Orange County,5842041f4e65fad6a77089fd
Huntington Cliffs,/breaks/Huntington-Cliffs,https://www.surf-forecast.com/breaks/Huntington-Cliffs,Beach,33.683,-118.0372,Orange County,640a3f7c606c45fdf1b09880
204,/breaks/Twohundredandfour,https://www.surf-forecast.com/breaks/Twohundredandfour,Beach,33.4419,-117.6531,Orange County,640a3f744eb37520719451b8
Huntington Pier,/breaks/Huntington-Pier,https://www.surf-forecast.com/breaks/Huntington-Pier,Beach,33.6705,-118.0224,Orange County,5842041f4e65fad6a7708827
San Clemente Pier,/breaks/San-Clemente-Pier,https://www.surf-forecast.com/breaks/San-Clemente-Pier,Beach,33.4249,-117.6323,Orange County,5cc8b55739a02e0001ac69f8
San Clemente State Park,/breaks/San-Clemente-State-Park,https://www.surf-forecast.com/breaks/San-Clemente-State-Park,Beach,33.4005,-117.608,Orange County,5842041f4e65fad6a77088cf
56th St,/breaks/Fifty-sixth-St,https://www.surf-forecast.com/breaks/Fifty-sixth-St,Beach,33.623,-117.945,Orange County,5842041f4e65fad6a7708e54
Linda Lane Beach,/breaks/Linda-Lane-Beach,https://www.surf-forecast.com/breaks/Linda-Lane-Beach,Beach,33.423,-117.624,Orange County,5842041f4e65fad6a77088cf
San Onofre - Trails,/breaks/Trails-San-Onofre-State-Beach,https://www.surf-forecast.com/breaks/Trails-San-Onofre-State-Beach,Beach,33.3651,-117.5556,San Diego County,584204204e65fad6a77099d4
Anderson Street,/breaks/Anderson-Street,https://www.surf-forecast.com/breaks/Anderson-Street,Sandbar,33.723,-118.081,Orange County,5842041f4e65fad6a7708822
Middles,/breaks/Middles-4,https://www.surf-forecast.com/breaks/Middles-4,Sandbar,33.5936,-117.9172,Orange County,5842041f4e65fad6a7708886
Santa Ana River Jetties,/breaks/Santa-Ana-River-Jetties,https://www.surf-forecast.com/breaks/Santa-Ana-River-Jetties,River,33.6461,-117.9908,Orange County,5842041f4e65fad6a77088ee
Newport 15th Street,/breaks/Newport-15th-Street,https://www.surf-forecast.com/breaks/Newport-15th-Street,Sandbar,33.604,-117.919,Orange County,5842041f4e65fad6a7708bfe
Sunset Beach,/breaks/Sunset-Beach-Usa-North-OC,https://www.surf-forecast.com/breaks/Sunset-Beach-Usa-North-OC,Sandbar,33.715,-118.07,Orange County,584204214e65fad6a7709b9e
Bolsa Chica,/breaks/Bolsa-Chica,https://www.surf-forecast.com/breaks/Bolsa-Chica,Beach,33.7049,-118.0603,Orange County,5842041f4e65fad6a77088e8
Surfside Jetty,/breaks/Surfside-Jetty,https://www.surf-forecast.com/breaks/Surfside-Jetty,Beach,33.7188,-118.0765,Orange County,5842041f4e65fad6a7708889
Riviera,/breaks/Riviera-1,https://www.surf-forecast.com/breaks/Riviera-1,Beach,33.406,-117.608,Orange County,6418e463e072f80f6e032dd4
Huntington Beach,/breaks/Huntington-Beach,https://www.surf-forecast.com/breaks/Huntington-Beach,Beach,33.6548,-118.0033,Orange County,5842041f4e65fad6a7708827
Salt Creek Middles,/breaks/Salt-Creek-Middles,https://www.surf-forecast.com/breaks/Salt-Creek-Middles,Beach,33.475,-117.724,Orange County,5842041f4e65fad6a770882e
Georges,/breaks/Georges,https://www.surf-forecast.com/breaks/Georges,Beach,33.0448,-117.3004,San Diego County,584204214e65fad6a7709d1a
Ponto,/breaks/Ponto,https://www.surf-forecast.com/breaks/Ponto,River,33.1448,-117.3454,San Diego County,5842041f4e65fad6a77088a5
Blacks Beach,/breaks/Blacks-Beach,https://www.surf-forecast.com/breaks/Blacks-Beach,Beach,32.9142,-117.2598,San Diego County,5842041f4e65fad6a770883b
